x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-727058.4797325202,3173987.787374801,0,0,geospecific_2147.obj,0,0,0,6,6
-727157.3341924364,3173939.9880850757,0,0,geospecific_2148.obj,0,0,0,5,5
-727212.5731606793,3173970.5159204206,0,0,geospecific_2149.obj,0,0,0,4,4
-727288.154861146,3173957.2875957754,0,0,geospecific_2150.obj,0,0,0,1,1
-727149.5667678056,3174026.1589528117,0,0,geospecific_2151.obj,0,0,0,1,1
-727040.7545476053,3174060.604883384,0,0,geospecific_2152.obj,0,0,0,3,3
-726755.2190147518,3174546.6149763623,0,0,geospecific_2153.obj,0,0,0,3,3
-726725.9383902394,3174544.1058198633,0,0,geospecific_2154.obj,0,0,0,5,5
-726709.6739405763,3174616.549447541,0,0,geospecific_2155.obj,0,0,0,4,4
-726690.3340624379,3174619.800590858,0,0,geospecific_2156.obj,0,0,0,5,5
-726846.9808128048,3174411.412623729,0,0,geospecific_2157.obj,0,0,0,5,5
-726815.6430619599,3174473.8070686418,0,0,geospecific_2158.obj,0,0,0,6,6
-727111.2400588335,3174151.1201366703,0,0,geospecific_2159.obj,0,0,0,1,1
-727056.1665691413,3174120.215666236,0,0,geospecific_2160.obj,0,0,0,5,5
-727090.1558193722,3174082.969547448,0,0,geospecific_2161.obj,0,0,0,5,5
-727121.4705481196,3174100.475276017,0,0,geospecific_2162.obj,0,0,0,2,2
-726909.2489145934,3174754.676586142,0,0,geospecific_2163.obj,0,0,0,5,5
-726880.1457390264,3174801.803339601,0,0,geospecific_2164.obj,0,0,0,9,9
-726836.9707336803,3174791.6008497975,0,0,geospecific_2165.obj,0,0,0,7,7
-727087.9676955623,3174710.827713315,0,0,geospecific_2166.obj,0,0,0,5,5
-727076.5993359673,3174693.1793900644,0,0,geospecific_2167.obj,0,0,0,4,4
-727031.6624886183,3174740.936055341,0,0,geospecific_2168.obj,0,0,0,1,1
-727191.9656581196,3174423.450353386,0,0,geospecific_2169.obj,0,0,0,2,2
-727152.2224618807,3174527.4705871823,0,0,geospecific_2170.obj,0,0,0,4,4
-727221.4521434277,3174344.1784832464,0,0,geospecific_2171.obj,0,0,0,3,3
-727213.6016052279,3174368.4217108157,0,0,geospecific_2172.obj,0,0,0,6,6
-726953.0938433617,3174121.712349289,0,0,geospecific_2173.obj,0,0,0,4,4
-727069.3562738771,3174208.781910348,0,0,geospecific_2174.obj,0,0,0,8,8
-727041.9996245655,3174273.3327757763,0,0,geospecific_2175.obj,0,0,0,6,6
-726964.3389606713,3174282.359568592,0,0,geospecific_2176.obj,0,0,0,4,4
-727156.3790578382,3174259.341685362,0,0,geospecific_2177.obj,0,0,0,3,3
-726585.1600018945,3174385.008755945,0,0,geospecific_2178.obj,0,0,0,1,1
-726576.5402555021,3174377.8030453674,0,0,geospecific_2179.obj,0,0,0,3,3
-726610.5350911916,3174426.6750785974,0,0,geospecific_2180.obj,0,0,0,3,3
-726540.5847480949,3174434.583010805,0,0,geospecific_2181.obj,0,0,0,4,4
-726580.2444659525,3174470.683592207,0,0,geospecific_2182.obj,0,0,0,4,4
-726608.0502551685,3174487.4121587356,0,0,geospecific_2183.obj,0,0,0,2,2
-726613.0890994722,3174475.578668451,0,0,geospecific_2184.obj,0,0,0,6,6
-726636.5253862819,3174449.09981481,0,0,geospecific_2185.obj,0,0,0,2,2
-726643.2644304777,3174442.6716635525,0,0,geospecific_2186.obj,0,0,0,2,2
-727707.4435462849,3174366.097793899,0,0,geospecific_2187.obj,0,0,0,8,8
-727717.738149844,3174396.848445154,0,0,geospecific_2188.obj,0,0,0,6,6
-727652.5459522915,3174351.8215490044,0,0,geospecific_2189.obj,0,0,0,9,9
-727654.509794529,3174282.412172237,0,0,geospecific_2190.obj,0,0,0,9,9
-727733.3924599871,3174416.115656291,0,0,geospecific_2191.obj,0,0,0,9,9
-727734.7184426014,3174443.980582225,0,0,geospecific_2192.obj,0,0,0,9,9
-727693.293704126,3174466.3198836017,0,0,geospecific_2193.obj,0,0,0,6,6
-727479.2460896223,3174497.0464253924,0,0,geospecific_2194.obj,0,0,0,7,7
-727769.0453065998,3174467.661446931,0,0,geospecific_2195.obj,0,0,0,9,9
-727710.0675785232,3174243.0012050574,0,0,geospecific_2196.obj,0,0,0,5,5
-727777.64214592,3174223.9260048843,0,0,geospecific_2197.obj,0,0,0,6,6
-727807.1955304417,3174445.2859286745,0,0,geospecific_2198.obj,0,0,0,4,4
-727807.1921595644,3174437.125653994,0,0,geospecific_2199.obj,0,0,0,5,5
-727870.2479168735,3174214.777495404,0,0,geospecific_2200.obj,0,0,0,7,7
-727945.7034117356,3174156.0804468687,0,0,geospecific_2201.obj,0,0,0,3,3
-727822.3884588396,3174155.5922631,0,0,geospecific_2202.obj,0,0,0,3,3
-726483.224870659,3174106.5724081374,0,0,geospecific_2203.obj,0,0,0,10,10
-726510.9638673762,3174148.5775287133,0,0,geospecific_2204.obj,0,0,0,6,6
-726523.3393886221,3174143.338550639,0,0,geospecific_2205.obj,0,0,0,6,6
-726441.2223670968,3174082.74017821,0,0,geospecific_2206.obj,0,0,0,4,4
