x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-724071.4627427602,3177371.2276320322,0,0,geospecific_429.obj,0,0,0,3,3
-726135.6663028541,3172886.567158917,0,0,geospecific_430.obj,0,0,0,4,4
-726721.6853322978,3173337.9420353356,0,0,geospecific_431.obj,0,0,0,8,8
-726317.1579210765,3175952.159509644,0,0,geospecific_432.obj,0,0,0,8,8
-724971.630383461,3172819.4190362175,0,0,geospecific_433.obj,0,0,0,11,11
-724613.1427496023,3179449.72503693,0,0,geospecific_434.obj,0,0,0,2,2
-724545.2706087737,3179414.9701778744,0,0,geospecific_435.obj,0,0,0,5,5
-724514.0573980672,3179427.760539135,0,0,geospecific_436.obj,0,0,0,5,5
-724474.4797548752,3179421.6241559437,0,0,geospecific_437.obj,0,0,0,2,2
-724482.7767257381,3179411.199308455,0,0,geospecific_438.obj,0,0,0,2,2
-724474.0808216304,3179399.9377118773,0,0,geospecific_439.obj,0,0,0,2,2
-725271.4241827881,3179006.89334133,0,0,geospecific_440.obj,0,0,0,6,6
-724553.2011522595,3179278.469525334,0,0,geospecific_441.obj,0,0,0,3,3
-724472.6765642097,3179197.7524179714,0,0,geospecific_442.obj,0,0,0,4,4
-724419.8895784046,3179131.7441180795,0,0,geospecific_443.obj,0,0,0,4,4
-724384.4024814129,3179095.3141853996,0,0,geospecific_444.obj,0,0,0,4,4
-724353.2223111854,3179057.200104236,0,0,geospecific_445.obj,0,0,0,4,4
-724526.456105168,3178843.520366417,0,0,geospecific_446.obj,0,0,0,1,1
-724699.1092217573,3178772.8720196914,0,0,geospecific_447.obj,0,0,0,3,3
-724622.6336063823,3178355.5941613326,0,0,geospecific_448.obj,0,0,0,7,7
-724726.1360512545,3178267.2505152095,0,0,geospecific_449.obj,0,0,0,4,4
-724575.3644140497,3178477.4149021157,0,0,geospecific_450.obj,0,0,0,10,10
-724505.8444084233,3178494.8374908585,0,0,geospecific_451.obj,0,0,0,5,5
-725447.2555070694,3178596.8402149393,0,0,geospecific_452.obj,0,0,0,8,8
-725450.9165708472,3178570.96325823,0,0,geospecific_453.obj,0,0,0,8,8
-725457.5378964462,3178550.176448164,0,0,geospecific_454.obj,0,0,0,7,7
-725400.1955407117,3178608.5921522174,0,0,geospecific_455.obj,0,0,0,7,7
-725259.7202512439,3178523.69930825,0,0,geospecific_456.obj,0,0,0,4,4
-725264.9268368476,3178548.966099473,0,0,geospecific_457.obj,0,0,0,8,8
-725444.9897124276,3178463.1959171714,0,0,geospecific_458.obj,0,0,0,8,8
-725370.5377993276,3178465.003337055,0,0,geospecific_459.obj,0,0,0,6,6
-725400.2619982134,3178375.186690404,0,0,geospecific_460.obj,0,0,0,6,6
-725449.0832984892,3178396.314700213,0,0,geospecific_461.obj,0,0,0,6,6
-725297.1825406445,3178523.0131635675,0,0,geospecific_462.obj,0,0,0,7,7
-725494.683789906,3178525.7579241656,0,0,geospecific_463.obj,0,0,0,3,3
-725551.8575993899,3178440.7833880703,0,0,geospecific_464.obj,0,0,0,5,5
-725506.5966274808,3178427.391198123,0,0,geospecific_465.obj,0,0,0,6,6
-725489.1699065214,3178422.0658463635,0,0,geospecific_466.obj,0,0,0,5,5
-725294.8652012254,3178417.5419621407,0,0,geospecific_467.obj,0,0,0,2,2
-725353.1049802906,3178374.098904976,0,0,geospecific_468.obj,0,0,0,4,4
-725413.6884956071,3178169.763805927,0,0,geospecific_469.obj,0,0,0,6,6
-725510.4136277823,3178273.770293452,0,0,geospecific_470.obj,0,0,0,7,7
-725488.5303297334,3178310.400738113,0,0,geospecific_471.obj,0,0,0,6,6
-725619.1520119535,3178246.4222873575,0,0,geospecific_472.obj,0,0,0,3,3
-725474.5948562839,3177937.6800671285,0,0,geospecific_473.obj,0,0,0,4,4
-725437.8933615994,3177920.630755507,0,0,geospecific_474.obj,0,0,0,4,4
-725611.8207206358,3178151.950485335,0,0,geospecific_475.obj,0,0,0,1,1
-725608.1222828744,3178119.7542396327,0,0,geospecific_476.obj,0,0,0,1,1
-725567.230595038,3178136.10758551,0,0,geospecific_477.obj,0,0,0,2,2
-725597.2239083172,3178067.2088762056,0,0,geospecific_478.obj,0,0,0,3,3
-725485.9140102237,3178192.4016164048,0,0,geospecific_479.obj,0,0,0,3,3
-725543.6789691349,3178244.0457877377,0,0,geospecific_480.obj,0,0,0,4,4
