optimum_width,optimum_height,optimum_levels
5.300128012252525,3.1902211350073264,1
5.488931347043671,3.5966346808793066,2
7.949825644060079,5.599219049544656,1
9.130340615329354,7.1801233182950215,2
10.150498049794015,7.665368399071951,3
10.589518144479971,5.333611999346234,2
10.9711380131505,9.36256554783806,2
11.139487049965863,7.487815972281245,4
11.38848324608518,9.158431862409689,1
11.68578963756859,9.787870648812616,3
11.926806205643393,6.066651130894797,3
12.461856831636293,6.709515341478248,2
13.809665506996428,12.710796241236853,4
14.079279439882022,4.5530085486936045,1
14.253897530234413,10.276114125844023,4
15.045864943776355,11.557300902454868,3
15.288757086738748,7.320176935174195,2
15.338835865424597,5.374968513965083,2
15.727241904625295,8.62776294068829,3
15.806822110642605,6.983466642640496,3
16.067317083586133,12.324046389681193,2
16.178969776175723,7.308934194972547,4
17.179617110547273,14.655087702160543,3
17.464131681081504,13.129372209028453,5
17.75476792447261,9.067950610152417,8
18.647559007435948,16.672378888899306,13
18.8606338661518,15.385687908094017,4
19.157997391104047,8.156510071967693,5
19.660061878982305,12.114365480529829,4
19.943454276713506,9.842019132237638,3
19.997634513687263,9.295839762057406,4
20.049351454241712,5.822225117186339,3
20.14135176315943,15.188807878069753,6
20.163808007991495,7.568357625621738,3
20.164051762861856,7.149682671867613,4
20.278010936456973,9.053378461433399,2
20.28871825614405,6.1163005254929175,2
20.8360830469075,16.831750106634814,5
20.906120861807338,16.607509291289915,8
21.34840966722114,19.728242505803728,12
21.390974482575082,12.553051704591226,3
21.455783425366473,16.52148969456225,7
22.065969097739508,19.247844586772082,4
22.800751761889824,11.123082453416247,5
22.80527684082232,19.945415636796266,10
24.972196989392113,21.080845311083074,6
25.38480919440459,20.251322918131972,2
25.530724326731722,10.103323135686262,3
25.574412646157878,7.664923999968753,4
25.61005799403751,6.69669787835474,3
26.136887029070294,20.35078030944309,5
26.1781809047667,10.7891219277723,4
26.639723095222344,13.589265402632357,2
26.95883329544718,16.024518075026727,4
26.99786876685244,22.22813711198853,7
27.83270640453105,15.289587762410624,6
28.859030941084974,14.120741446301105,5
30.03168613169038,22.038284387743655,4
30.37959586535277,26.67379922265723,5
31.763724689509694,28.471216771605675,6
32.03348380567047,11.154788343885299,6
33.62543000501003,27.625173109112872,2
33.90356672067665,14.704225796021365,9
34.489837184435274,8.143826900020645,4
34.51920762677462,13.048632442139175,4
35.79288018198074,19.66191659357616,7
36.850235293554874,11.63093498196139,2
37.87418685812442,32.03448308214268,4
38.18677995057723,19.02906280971756,5
38.30371136874466,26.134834183383283,9
40.03364094835045,25.77104191956785,5
41.350602820610845,18.9743479140727,2
41.61095081913265,31.17484892649142,7
43.60831377758126,38.597861455410495,8
44.32867676159121,31.340588658938778,10
44.70982902331332,21.39038351132586,6
45.77978361769057,11.650342065739691,8
45.934785557519916,14.57138827386351,5
48.57240509386378,24.79148049982705,20
49.14418888298111,8.764257117071125,4
50.066629588731985,38.66723854183289,3
51.143826950818024,22.02240586469447,9
51.242197741132145,31.80253984355064,13
52.460058294938506,39.58512457660241,6
52.973131252539815,21.63239521053584,5
53.95621366317933,24.642855403279018,2
54.70412213587585,29.68844484425984,8
55.814549886945,15.308333618640553,3
55.87748122222477,30.81774198682941,5
56.85135730280393,14.069905005826673,6
62.65861193886461,21.863004289749423,9
64.68515740696624,6.692792132020201,4
64.82517743845827,15.216365216524459,8
66.95930436829232,32.47026397487825,9
68.31917753627849,40.54798830978031,7
74.63488326178842,21.71524701625613,5
75.79387006418676,31.594642120423067,6
76.63783719886912,22.570763610721585,8
78.01383227022718,10.45658402335872,4
79.55335814120369,38.53201675998629,2
