x,y,z,angle_deg,obj_filename,pred_width,pred_height,fit_dist,pred_levels,cluster_levels
-725297.1731701109,3177131.9367062296,0,7.747918646014085,cluster_43_w22.80_h11.12_l5.obj,23.314894636992165,12.47012949665903,1.4418316936201747,5,5
-725817.1301798946,3176849.7153585083,0,-20.72248687065408,cluster_52_w26.64_h13.59_l2.obj,28.20704519069879,15.754923016542614,4.018279663196198,5,2
-726023.5355002458,3176359.1127221994,0,-3.5118069509148895,cluster_60_w32.03_h11.15_l6.obj,33.0471931658594,14.88810881521852,3.8684995035039527,6,6
-725164.1657643862,3172447.452236168,0,-69.65775242820797,cluster_23_w17.46_h13.13_l5.obj,19.159112669694828,14.364187540202433,2.0970764063006646,5,5
-725228.7364028125,3172561.744271643,0,17.77697368022872,cluster_20_w16.07_h12.32_l2.obj,18.10529126265355,12.974970493734933,3.684703643956144,5,2
-725163.4901285964,3172582.6581058674,0,17.973436601310624,cluster_20_w16.07_h12.32_l2.obj,18.674690998205776,12.335138868551235,3.974735434431636,5,2
-725125.5242544657,3172542.2112568244,0,15.379119735987684,cluster_15_w15.05_h11.56_l3.obj,15.839501320514941,11.966910583472654,1.340760526442452,4,3
-725077.4605524937,3172576.1731031933,0,18.276892624550584,cluster_29_w19.94_h9.84_l3.obj,23.506247781279832,11.589737505465,4.092434125101652,4,3
-724949.7292810954,3172529.639346314,0,-68.2195750533834,cluster_26_w18.86_h15.39_l4.obj,19.074450862816764,15.646823188025598,0.3375045814322679,4,4
-725003.6372232187,3172508.8878663788,0,-69.60245519976657,cluster_23_w17.46_h13.13_l5.obj,19.502795808546143,14.804801288100803,2.638790257601461,5,5
-725067.1236422831,3172403.386283114,0,-72.70255068906067,cluster_69_w38.30_h26.13_l9.obj,40.8456335171624,30.40035550752632,4.9654849083786,9,9
-725051.119325622,3172572.7271225746,0,18.24754469140064,cluster_29_w19.94_h9.84_l3.obj,22.6143734738217,11.639733866493199,3.3712887184637035,4,3
-725057.9762862836,3172594.6319842697,0,18.101808564239295,cluster_29_w19.94_h9.84_l3.obj,23.99983133905361,11.418989282554733,4.465538010908661,4,3
-725073.1267004152,3172565.504116951,0,17.701352951439986,cluster_29_w19.94_h9.84_l3.obj,23.90411387726275,11.401266493093338,4.372422303913287,4,3
-725083.8529390767,3172436.601878104,0,-72.29136738686485,cluster_26_w18.86_h15.39_l4.obj,19.920559578840024,16.674297057586013,4.33404615302746,8,4
-724995.6575343859,3172589.144631967,0,21.550934192965684,cluster_51_w26.18_h10.79_l4.obj,29.984554377632566,13.081934689795755,4.443587444468106,4,4
-725087.2374396669,3172607.7896389803,0,18.600278233079734,cluster_30_w20.00_h9.30_l4.obj,22.290733195515365,10.85488743623258,2.9476993087750314,5,4
-725093.9685078904,3172474.3274644697,0,20.592837548075295,cluster_68_w38.19_h19.03_l5.obj,39.81112243111305,19.639523106716602,1.7352666274337811,5,5
-725080.155983574,3172587.4312570523,0,18.00991779268483,cluster_29_w19.94_h9.84_l3.obj,23.08520212039142,11.364039558450038,3.631408224237893,4,3
-725027.3442059855,3172602.7616320704,0,15.474567988039722,cluster_29_w19.94_h9.84_l3.obj,21.676667665710447,11.654240751905368,2.6996621734190005,4,3
-725000.6051787729,3172599.4802095713,0,17.500442692683066,cluster_47_w25.53_h10.10_l3.obj,28.825495698584266,10.355886291154842,3.4524348712581623,4,3
-725030.0728269066,3172613.8291625604,0,15.463417384972423,cluster_28_w19.66_h12.11_l4.obj,21.5555374978949,12.263484286523424,1.9013322277269276,4,4
-725024.1999050749,3172592.206804643,0,16.72633700735474,cluster_30_w20.00_h9.30_l4.obj,21.916268328205092,10.563763101994727,2.507745064827971,5,4
-725018.3903534062,3172577.1034751623,0,-74.52377688991183,cluster_42_w22.07_h19.25_l4.obj,24.122217119820174,23.79741311799323,4.992667598447591,4,4
-725405.1700822227,3172468.545583252,0,27.02947191248603,cluster_15_w15.05_h11.56_l3.obj,15.46998650757937,11.615909444157042,1.0878024002745943,4,3
-725433.8646165548,3172464.165641723,0,38.72962290687545,cluster_18_w15.73_h8.63_l3.obj,16.205367415232246,10.047344561787554,1.497937242629333,3,3
-725458.4016394011,3172497.1077541006,0,-52.019011892554744,cluster_18_w15.73_h8.63_l3.obj,18.12921313928022,10.14398129388048,2.8404900821278245,3,3
-725513.7169396299,3172511.1160201854,0,-50.17298558943506,cluster_29_w19.94_h9.84_l3.obj,20.79666875051662,12.409211764561071,2.70526393347541,3,3
-725536.8134209866,3172539.4969385285,0,-50.46140126193049,cluster_51_w26.18_h10.79_l4.obj,27.485107156950452,12.622001150523422,2.4632300895043953,5,4
-725460.5802793889,3172568.6042106,0,27.856631847970316,cluster_18_w15.73_h8.63_l3.obj,17.72690402890243,10.357826034987326,2.6441949477154854,3,3
-725448.0676628554,3172525.967257239,0,28.021903547007213,cluster_26_w18.86_h15.39_l4.obj,23.229341170905606,16.443016320766496,4.604730924479058,5,4
-725481.0518790534,3172569.2451389655,0,28.084505714824086,cluster_47_w25.53_h10.10_l3.obj,27.168523885488693,10.182119384515296,1.9205718532494604,4,3
-725471.7257489263,3172551.198807874,0,27.60877379471922,cluster_18_w15.73_h8.63_l3.obj,18.204651055399633,10.237874003242604,3.119296993570859,4,3
-725362.4158195475,3172623.457177356,0,-73.75534909939526,cluster_21_w16.18_h7.31_l4.obj,17.715243624180975,7.59496104708342,1.5626735731410182,4,4
-725377.4043457092,3172620.808865205,0,-73.23520342358344,cluster_33_w20.16_h7.57_l3.obj,21.517092227741706,7.590857976654112,1.353471257626673,3,3
-725382.1465745533,3172642.6115884143,0,-72.81133214391993,cluster_14_w14.25_h10.28_l4.obj,16.053399091595807,10.89308364337097,1.9023294285952506,4,4
-725391.6532595932,3172637.0990326656,0,-73.2126636637413,cluster_29_w19.94_h9.84_l3.obj,20.5049136281479,10.68710883651716,1.424574747632564,4,3
-725371.4879545791,3172646.7214951892,0,-72.79954094640772,cluster_14_w14.25_h10.28_l4.obj,14.63626364968853,11.94344505562967,1.7106128371803677,4,4
-725383.3494802078,3172588.4728552997,0,-73.05445984822443,cluster_38_w20.91_h16.61_l8.obj,23.758536634559686,19.91878477266934,4.4833939213759635,9,8
-725327.5336869098,3172587.809248866,0,16.411682453177683,cluster_34_w20.16_h7.15_l4.obj,22.624764357195964,8.502763736288845,2.980928519574025,5,4
-725329.9990200376,3172596.6611907473,0,16.35689537815918,cluster_29_w19.94_h9.84_l3.obj,22.58688123701212,11.822571313322353,3.4511292407606238,4,3
-725298.213103465,3172573.3999696933,0,17.401509483555742,cluster_19_w15.81_h6.98_l3.obj,19.601287257833533,7.685375983488016,3.858839524522324,3,3
-725275.710324181,3172675.7308096527,0,-71.7751691694715,cluster_14_w14.25_h10.28_l4.obj,14.751357278239611,10.7561290078674,0.691289004577183,4,4
